title,genre,year,rating,poster,overview

Interstellar,Sci-Fi,2014,8.7,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,"Sekelompok astronaut melakukan perjalanan melalui wormhole untuk mencari planet baru bagi umat manusia."
Inception,Sci-Fi,2010,8.8,https://image.tmdb.org/t/p/w500/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg,"Seorang pencuri memasuki mimpi orang lain untuk mencuri informasi rahasia."

John Wick,Action,2014,7.4,https://image.tmdb.org/t/p/w500/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,"Mantan pembunuh bayaran kembali beraksi untuk membalas dendam."
The Dark Knight,Action,2008,9.0,https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,"Batman menghadapi musuh paling berbahaya, Joker."

The Shawshank Redemption,Drama,1994,9.3,https://image.tmdb.org/t/p/w500/q6y0Go1tsGEsmtFryDOJo3dEmqu.jpg,"Dua tahanan membentuk persahabatan yang kuat selama bertahun-tahun di penjara."

The Godfather,Crime,1972,9.2,https://www.themoviedb.org/t/p/w1280/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"Kisah keluarga mafia Corleone yang kuat dan penuh intrik."

The Matrix,Sci-Fi,1999,8.7,https://www.themoviedb.org/t/p/w1280/dXNAPwY7VrqMAo51EKhhCJfaGb5.jpg,"Seorang hacker menemukan bahwa dunia yang dia kenal hanyalah simulasi komputer."

Pulp Fiction,Crime,1994,8.9,https://www.themoviedb.org/t/p/w1280/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,"Kisah yang saling terkait tentang kejahatan di Los Angeles."

Fight Club,Drama,1999,8.8,https://www.themoviedb.org/t/p/w1280/yrOE92bDvzClGDpsDu8JkUssuuA.jpg,"Seorang pria yang bosan dengan hidupnya membentuk klub pertarungan bawah tanah."
Forrest Gump,Drama,1994,8.8,https://image.tmdb.org/t/p/w500/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,"Kisah hidup Forrest Gump yang luar biasa dan penuh inspirasi."

